#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
PWY-7199	pyrimidine deoxyribonucleosides salvage	
PWY-7208	superpathway of pyrimidine nucleobases salvage	
PWY-7194	pyrimidine nucleobases salvage II	cytosine salvage
PWY-7205	CMP phosphorylation	
PWY-7193	pyrimidine ribonucleosides salvage I	
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	
PWY-6498	eumelanin biosynthesis	melanochrome biosynthesis	melanogenesis
PWY-6481	L-dopachrome biosynthesis	melanin biosynthesis (proximal phase)
PWY-7442	drosopterin and aurodrosopterin biosynthesis	
PWY-6730	methylhalides biosynthesis (plants)	biogenesis of methylhalides (plants)
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	ureide biogenesis	inosine 5'-phosphate degradation	IMP degradation	urate biosynthesis
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	
ARGSPECAT-PWY	spermine biosynthesis	
GLYCGREAT-PWY	creatine biosynthesis	glycine degradation II	glycine degradation
P101-PWY	ectoine biosynthesis	
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	polyamn
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	spermidine biosynthesis	putrescine biosynthesis	polyamine biosynthesis I	aminopropylcadaverine biosynthesis
PWY-5907	homospermidine biosynthesis	polyamine biosynthesis	triaminic polyamine biosynthesis
PWY-6173	histamine biosynthesis	
PWY-6456	serinol biosynthesis	2-amino-1,3-propanediol biosynthesis
PWY-6562	norspermidine biosynthesis	<i>sym</i>-norspermidine biosynthesis
PWY-6565	superpathway of polyamine biosynthesis III	
PWY-7297	octopamine biosynthesis	
PWY0-1303	aminopropylcadaverine biosynthesis	
TRYPANOSYN-PWY	trypanothione biosynthesis	
URSIN-PWY	ureide biosynthesis	ureide biogenesis
PWY-4021	&beta;-alanine betaine biosynthesis	
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	
P542-PWY	choline-<i>O</i>-sulfate degradation	choline sulfate degradation
PWY-6004	glycine betaine biosynthesis V (from glycine)	betaine biosynthesis from glycine
P541-PWY	glycine betaine biosynthesis IV (from glycine)	betaine biosynthesis from glycine
CHOLINE-BETAINE-ANA-PWY	choline degradation I	choline betaine anabolism
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)	
PWY1F-353	glycine betaine biosynthesis III (plants)	glycine betaine biosynthesis
PWY-6305	putrescine biosynthesis IV	putrescine biosynthesis in plants	ODC and ADC putrescine biosynthesis
PWY-46	putrescine biosynthesis III	ODC pathway
PWY-43	putrescine biosynthesis II	
PWY-40	putrescine biosynthesis I	
PWY-6834	spermidine biosynthesis III	
PWY-6559	spermidine biosynthesis II	
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	UDP-<i>N</i>-acetylgalactosamine biosynthesis
PWY-4161	superpathway of benzoxazinoid glucosides biosynthesis	benzoxazinoids biosynthesis	DIBOA / DIMBOA biosynthesis
PWY-5826	hypoglycin biosynthesis	
PWY-5935	tuberculosinol biosynthesis	
PWY-5954	(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis	
PWY-5955	versicolorin B biosynthesis	
PWY-5956	sterigmatocystin biosynthesis	
PWY-5959	aflatoxins B<sub>1</sub> and G<sub>1</sub> biosynthesis	
PWY-5960	aflatoxins B<sub>2</sub> and G<sub>2</sub> biosynthesis	
PWY-5961	superpathway of aflatoxin biosynthesis	
PWY-5975	furaneol biosynthesis	HDMF biosynthesis	4-hydroxy-2,5-dimethyl-3(2H)-furanone biosynthesis
PWY-5979	3-amino-5-hydroxybenzoate biosynthesis	aminoshikimate pathway
PWY-6068	indican biosynthesis	
PWY-6069	indigo biosynthesis	
PWY-6585	2-methylketone biosynthesis	methyl ketone biosynthesis
PWY-6644	fluoroacetate and fluorothreonine biosynthesis	
PWY-6660	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis	2-heptyl-3,4-dihydroxyquinoline biosynthesis	<i>Pseudomonas</i> quinolone signal biosynthesis	PQS biosynthesis
PWY-6661	4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis	DHQ biosynthesis	4-hydroxy-2-quinolone biosynthesis
PWY-6662	superpathway of quinolone and alkylquinolone biosynthesis	
PWY-6699	oxalate biosynthesis	
PWY-6703	preQ<sub>0</sub> biosynthesis	deazapurine biosynthesis
PWY-6802	salidroside biosynthesis	
PWY-6808	dTDP-D-forosamine biosynthesis	TDP-D-forosamine biosynthesis
PWY-6831	pyrrolnitrin biosynthesis	
PWY-6839	2-aminoethylphosphonate biosynthesis	
PWY-6920	6-gingerol analog biosynthesis	
PWY-6926	pyrethrin I biosynthesis	
PWY-6949	DIBOA-glucoside biosynthesis	DIBOA biosynthesis	DIBOA-Glc biosynthesis
PWY-6950	DIMBOA-glucoside biosynthesis	DIMBOA biosynthesis
PWY-7040	violacein biosynthesis	
PWY-7136	&beta; myrcene degradation	
PWY-7153	grixazone biosynthesis	
PWY-7236	mycocyclosin biosynthesis	
PWY-7463	<i>N</i>-methylanthraniloyl-&beta;-<i>D</i>-glucopyranose biosynthesis	
PWY-7490	patulin biosynthesis	
PWY-7492	paspaline biosynthesis	
PWY-7493	paxilline and diprenylpaxilline biosynthesis	
PWY-7531	mannojirimycin biosynthesis	
PWY-7533	gliotoxin biosynthesis	
PWY-7534	gliotoxin inactivation	
PWY-7536	2-amino-3-hydroxycyclopent-2-enone biosynthesis	
PWY-7540	aflatrem biosynthesis	
PWY-7548	methylthiolincosamide biosynthesis	
PWY-7556	(-)-microperfuranone biosynthesis	
PWY-7599	anditomin biosynthesis	
PWY-7687	stipitatate biosynthesis	stipitatic acid biosynthesis
PWY-7708	lyngbyatoxin biosynthesis	
PWY-7717	3-hydroxy-4-methyl-anthranilate biosynthesis	3-hydroxy-4-methyl-anthranilic acid biosynthesis
PWY8J2-20	pulcherrimin biosynthesis	
PWY-6883	pyruvate fermentation to butanol II	1-butanol synthesis
PWY-7111	pyruvate fermentation to isobutanol (engineered)	isobutanol biosynthesis
PWY-6583	pyruvate fermentation to butanol I	
PWY-7003	glycerol degradation to butanol	
PWY-6886	1-butanol autotrophic biosynthesis	
PWY-7396	butanol and isobutanol biosynthesis (engineered)	
PWY-5632	cephalosporin C biosynthesis	
PWY-6322	phosphinothricin tripeptide biosynthesis	PTT biosynthesis	bialaphos biosynthesis
PWY-7016	neomycin biosynthesis	
PWY-7510	rhizocticin A and B biosynthesis	
PWY-7694	zwittermicin A biosynthesis	
PWY-5679	clavulanate biosynthesis	
PWY-6346	staurosporine biosynthesis	
PWY-7020	superpathway of butirocin biosynthesis	
PWY-7569	arginomycin biosynthesis	
PWY-7716	penicillin G and penicillin V biosynthesis	
PWY-5770	phenazine-1-carboxylate biosynthesis	
PWY-6679	jadomycin biosynthesis	
PWY-7045	mithramycin biosynthesis	
PWY-7626	bacilysin biosynthesis	
PWY-7734	quinoxaline-2-carboxylate biosynthesis	quinoxaline-2-carboxylic acid biosynthesis
PWY-5887	albaflavenone biosynthesis	
PWY-6721	sangivamycin biosynthesis	
PWY-7352	daunorubicin biosynthesis	
PWY-7659	viridicatumtoxin biosynthesis	
PWY1A0-6325	actinorhodin biosynthesis	
PWY-5940	streptomycin biosynthesis	
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis	
PWY-7419	FR-900098 and FR-33289 antibiotics biosynthesis	3-(<i>N</i>-acetyl-<i>N</i>-hydroxy)aminopropylphosphonate and (<i>R</i>)-(3-(acetylhydroxyamino)-2-hydroxypropyl)phosphonate biosynthesis
PWY-7670	fusaridione A biosynthesis	
PWY-5631	deacetylcephalosporin C biosynthesis	
PWY-6003	gramicidin S biosynthesis	
PWY-7015	ribostamycin biosynthesis	vistamycin biosynthesis
PWY-7485	tetracenomycin C biosynthesis	
PWY-7693	guadinomine B biosynthesis	
PWY-5634	superpathway of penicillin, cephalosporin and cephamycin biosynthesis	
PWY-6345	K-252 biosynthesis	K-252c biosynthesis	K-252b biosynthesis	K-252a biosynthesis	K-252d biosynthesis
PWY-7019	butirosin biosynthesis	
PWY-7564	bacimethrin and bacimethrin pyrophosphate biosynthesis	
PWY-7706	dapdiamides biosynthesis	
PWY-5757	fosfomycin biosynthesis	
PWY-6666	pyocyanin biosynthesis	
PWY-7025	gentamicin biosynthesis	gentamycin biosynthesis
PWY-7575	superpathway of candicidin biosynthesis	
PWY-7733	3-hydroxyquinaldate biosynthesis	3-hydroxyquinaldic acid biosynthesis
PWY-5818	validamycin A biosynthesis	
PWY-6720	toyocamycin biosynthesis	
PWY-7287	novobiocin biosynthesis	
PWY-7655	dechlorogriseofulvin biosynthesis	
PWY-7737	thiocoraline biosynthesis	
PWY-5930	terpentecin biosynthesis	
PWY-6915	pentalenolactone biosynthesis	
PWY-7355	doxorubicin biosynthesis	
PWY-7669	equisetin biosynthesis	
PWY-5630	penicillin K biosynthesis	
PWY-5993	superpathway of rifamycin B biosynthesis	
PWY-7000	kanamycin biosynthesis	
PWY-7483	elloramycin biosynthesis	
PWY-7690	holomycin biosynthesis	
PWY-5633	cephamycin C biosynthesis	
PWY-6324	rebeccamycin biosynthesis	
PWY-7018	paromomycin biosynthesis	
PWY-7547	prodigiosin biosynthesis	
PWY-7702	sch210971 and sch210972 biosynthesis	
PWY-5737	(5<i>R</i>)-carbapenem carboxylate biosynthesis	(<i>R</i>)-1-carbapen-2-em-3-carboxylate biosynthesis	(5<i>R</i>)-carbapenem-3-carboxylate biosynthesis
PWY-6511	3-methylarginine biosynthesis	
PWY-7021	superpathway of neomycin biosynthesis	
PWY-7570	blasticidin S biosynthesis	
PWY-7718	actinomycin D biosynthesis	actinomycin C1 biosynthesis
PWY-5776	2-hydroxyphenazine biosynthesis	
PWY-6682	dehydrophos biosynthesis	
PWY-7653	griseofulvin biosynthesis	
PWY-7735	echinomycin and triostin A biosynthesis	
PWY-5929	puromycin biosynthesis	
PWY-6722	candicidin biosynthesis	
PWY-7354	aclacinomycin biosynthesis	aclacinomycin A biosynthesis	aclacinomycin N biosynthesis	aclacinomycin Y biosynthesis
PWY-7665	aureobasidin A biosynthesis	
PWY-5629	isopenicillin N biosynthesis	
PWY-5984	rifamycin B biosynthesis	
PWY-6955	lincomycin biosynthesis	
PWY-7441	polymyxin A biosynthesis	
PWY-7671	saframycin A biosynthesis	
PWY-7022	paromamine biosynthesis II	
PWY-7014	paromamine biosynthesis I	
PWY-7407	aurachin A, B, C and D biosynthesis	
PWY-7405	aurachin RE biosynthesis	
PWY-6975	superpathway of erythromycin biosynthesis (without sugar biosynthesis)	
PWY-7108	erythromycin A biosynthesis	
PWY-7412	mycinamicin biosynthesis	
PWY-7422	methymycin, neomethymycin and novamethymycin biosynthesis	
PWY-6971	oleandomycin biosynthesis	
PWY-7106	erythromycin D biosynthesis	
PWY-7110	superpathway of megalomicin A biosynthesis	
PWY-7421	narbomycin, pikromycin and novapikromycin biosynthesis	narbomycin, picromycin and novapicromycin biosynthesis
PWY-7677	rosamicin biosynthesis	
PWY-6977	superpathway of erythromycin biosynthesis	
PWY-7109	megalomicin A biosynthesis	megalomycin A biosynthesis
PWY-7415	tylosin biosynthesis	
PWY-7624	nystatin biosynthesis	
PWY-7650	echinocandin B biosynthesis	
PWY-7668	apicidin F biosynthesis	
PWY-7667	apicidin biosynthesis	
PWY-7621	autoinducer CAI-1 biosynthesis	cholerae autoinducer-1 biosynthesis
PWY-6157	autoinducer AI-1 biosynthesis	
PWY-6154	autoinducer AI-2 biosynthesis II (<i>Vibrio</i>)	
PWY-6153	autoinducer AI-2 biosynthesis I	
PWY-7255	ergothioneine biosynthesis I (bacteria)	
PWY-7550	ergothioneine biosynthesis II (fungi)	
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway	9-LOX and 9-AOS pathway
PWY-5408	9-lipoxygenase and 9-hydroperoxide lyase pathway	9-LOX and 9-HPL pathway	9-oxo-nonanoate biosynthesis
PWY-5410	traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis	13-lipoxygenase and 13-hydroperoxide lyase pathway	13-LOX and 13-HPL pathway
PWY-5433	superpathway of lipoxygenase	LOX superpathway
PWY-5409	divinyl ether biosynthesis II	etheroleate biosynthesis	13-LOX and 13-DES pathway
PWY-5406	divinyl ether biosynthesis I	9-lipoxygenase and divinyl ether synthase pathway	9-LOX and DES pathway	colneleate biosynthesis	colnelenate biosynthesis
PWY-7100	spinosyn A biosynthesis	
PWY-3181	L-tryptophan degradation VI (via tryptamine)	
PWY-5473	hydroxycinnamic acid serotonin amides biosynthesis	hydroxycinnamic acid amides biosynthesis
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis	hydroxycinnamic acid amides biosynthesis
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis	spermidine phenylpropanoid conjugates biosynthesis	polyamine conjugates biosynthesis
PWY-6448	hordatine biosynthesis	
PWY-5883	ephedrine biosynthesis	
PWY-7603	stephacidin A biosynthesis	
PWY-6503	superpathway of ergotamine biosynthesis	
PWY-7607	meleagrin biosynthesis	
PWY-7138	noscapine biosynthesis	
PWY-7612	chaetoglobosin A biosynthesis	
PWY-7526	fumitremorgin A biosynthesis	
PWY-7705	4'-methoxyviridicatin biosynthesis	
PWY-5315	N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation biosynthesis	nicotine and tropane alkaloids precursor biosynthesis
PWY-7549	asperlicin E biosynthesis	
PWY-5748	&gamma;-coniciene and coniine biosynthesis	hemlock alkaloids biosynthesis	piperidinic alkaloids biosynthesis
PWY-7600	peramine biosynthesis	
PWY-6027	capsiconiate biosynthesis	
PWY-7605	roquefortine C biosynthesis	
PWY-7135	emetine biosynthesis	
PWY-7609	superpathway of roquefortine, meleagrin and neoxaline biosynthesis	
PWY-7525	fumitremorgin C biosynthesis	
PWY-7704	viridicatin biosynthesis	
PWY-7543	5-<i>N</i>-acetylardeemin biosynthesis	
PWY-5710	capsaicin biosynthesis	capsaicinoids biosynthesis	hot pepper biosynthesis
PWY-7558	&alpha;-cyclopiazonate detoxification	
PWY-5958	acridone alkaloid biosynthesis	
PWY-7604	notoamide C and D biosynthesis	
PWY-6923	ricinine degradation	
PWY-7608	neoxaline biosynthesis	
PWY-7265	lampranthin biosynthesis	
PWY-7660	tryptoquialanine biosynthesis	
PWY-7542	fumiquinazoline D biosynthesis	
PWY-5666	steroidal glycoalkaloid biosynthesis	solanine/chaconine biosynthesis	&alpha;-solanine/&alpha;-chaconine biosynthesis	SGA biosynthesis
PWY-7555	&alpha;-cyclopiazonate biosynthesis	
PWY-5301	ajmaline and sarpagine biosynthesis	
PWY-5292	vindoline and vinblastine biosynthesis	
PWY-5290	secologanin and strictosidine biosynthesis	
PWY-5039	theobromine biosynthesis I	
PWY-5040	theobromine biosynthesis II (via xanthine)	
PWY-5038	caffeine biosynthesis II (via paraxanthine)	
PWY-5037	caffeine biosynthesis I	
PWY-6326	camptothecin biosynthesis	
PWY-5848	cinchona alkaloids biosynthesis	quinidine biosynthesis	cinchonine biosynthesis	cinchonidine biosynthesis	antimalarial alkaloids biosynthesis	quinine biosynthesis
PWY-7341	superpathway of hyoscyamine and scopolamine biosynthesis	
PWY-5843	cocaine biosynthesis	
PWY-5318	calystegine biosynthesis	
PWY-5317	hyoscyamine and scopolamine biosynthesis	
PWY-5846	colchicine biosynthesis	
PWY-6495	ergotamine biosynthesis	
PWY-7532	acetylaszonalenin biosynthesis	
PWY-6493	chanoclavine I aldehyde biosynthesis	
PWY-7520	terrequinone A biosynthesis	
PWY-5877	beta-carboline biosynthesis	
PWY-7059	fumigaclavine biosynthesis	
PWY-5467	gramine biosynthesis	
PWY-6852	senecionine N-oxide biosynthesis	
PWY-5400	amaranthin biosynthesis	
PWY-5405	superpathway of betalain biosynthesis	
PWY-5399	betacyanin biosynthesis	
PWY-5404	betaxanthin biosynthesis (via dopaxanthin)	
PWY-5439	betacyanin biosynthesis (via dopamine)	
PWY-5394	betalamic acid biosynthesis	
PWY-5403	betaxanthin biosynthesis (via dopamine)	
PWY-5426	betaxanthin biosynthesis	
PWY-5110	trigonelline biosynthesis	
PWY-5752	piperine biosynthesis	
PWY-5316	nicotine biosynthesis	
PWY-7342	superpathway of nicotine biosynthesis	
PWY-5468	lupanine biosynthesis	
PWY-3901	berberine biosynthesis	
PWY-5470	palmatine biosynthesis	
PWY-6337	dehydroscoulerine biosynthesis	protoberberine alkaloid biosynthesis	benzophenanthridine alkaloid biosynthesis
PWY-7522	(<i>R</i>)-canadine biosynthesis	
PWY-5287	sanguinarine and macarpine biosynthesis	
PWY-5876	magnoflorine biosynthesis	
PWY-7507	chelerythrine biosynthesis	
PWY-5270	morphine biosynthesis	
PWY-5472	bisbenzylisoquinoline alkaloid biosynthesis	berbamunine biosynthesis
PWY-7363	papaverine biosynthesis	
PWY-6133	(S)-reticuline biosynthesis II	
PWY-3581	(<i>S</i>)-reticuline biosynthesis I	
PWY-5388	N-glucosylnicotinate metabolism	
PWY-861	dhurrin biosynthesis	
PWY-3022	linamarin biosynthesis	
PWY-7095	3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis	
PWY-7088	taxiphyllin biosynthesis	
PWY-5990	lotaustralin biosynthesis	
PWY-601	glucosinolate biosynthesis from tryptophan	indolylmethyl glucosinolate biosynthesis
PWYQT-4472	glucosinolate biosynthesis from trihomomethionine	
PWYQT-4475	glucosinolate biosynthesis from hexahomomethionine	
PWY-2821	glucosinolate biosynthesis from phenylalanine	
PWYQT-4471	glucosinolate biosynthesis from dihomomethionine	
PWYQT-4474	glucosinolate biosynthesis from pentahomomethionine	
PWY-1187	glucosinolate biosynthesis from homomethionine	
PWYQT-4450	aliphatic glucosinolate biosynthesis, side chain elongation cycle	methionine elongation
PWYQT-4473	glucosinolate biosynthesis from tetrahomomethionine	
PWY-1	lathyrine biosynthesis	
PWY-5	canavanine biosynthesis	
PWY-4985	mimosine biosynthesis	
PWY-4961	&beta;-pyrazole-1-ylalanine biosynthesis	
PWY-5021	willardiine and isowillardiine biosynthesis	
PWY-4421	curcumin glucoside biosynthesis	
PWY-5882	epoxypseudoisoeugenol-2-methylbutanoate biosynthesis	EPB biosynthesis	epoxypseudoisoeugenol-2-methylbutyrate biosynthesis
PWY-6673	caffeoylglucarate biosynthesis	
PWY-6801	volatile esters biosynthesis (during fruit ripening)	ethylene-stimulated fruit ester biosynthesis
PWY-6835	6-gingerol biosynthesis	
PWY-7468	benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis	benzoyl-&beta;-<i>D</i>-glucose biosynthesis
PWY-7498	phenylpropanoids methylation (ice plant)	
PWY-7643	coniferyl alcohol 9-methyl ester biosynthesis	
PWY-7682	arabidopyrone biosynthesis	
PWY-6443	benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)	benzoic acid biosynthesis
PWY-6763	salicortin biosynthesis	
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)	benzoic acid biosynthesis	benzoate biosynthesis III (CoA-dependent, &beta;-oxidative-independent)
PWY-6444	benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)	benzoate biosynthesis (non-oxidative)	benzoic acid biosynthesis
PWY-6766	salicin biosynthesis	
PWY-4203	volatile benzenoid biosynthesis I (ester formation)	
PWY-4201	volatile cinnamoic ester biosynthesis	
PWY-5071	superpathway of rosmarinic acid biosynthesis	
PWY-5867	<i>t</i>-anethole biosynthesis	fennel volatiles biosynthesis
PWY-6040	chlorogenic acid biosynthesis II	
PWY-7461	hydroxycinnamate sugar acid ester biosynthesis	
PWY-3301	sinapate ester biosynthesis	
PWY-5049	rosmarinic acid biosynthesis II	
PWY-5859	eugenol and isoeugenol biosynthesis	
PWY-6039	chlorogenic acid biosynthesis I	
PWY-7460	2-<i>O</i>-acetyl-3-<i>O</i>-<i>trans</i>-coutarate biosynthesis	
PWY-2181	free phenylpropanoid acid biosynthesis	
PWY-5048	rosmarinic acid biosynthesis I	
PWY-5168	ferulate and sinapate biosynthesis	
PWY-5968	cinnamate esters biosynthesis	
PWY1F-467	phenylpropanoid biosynthesis, initial reactions	
PWY-7304	3-amino-4,7-dihydroxy-coumarin biosynthesis	
PWY-5319	coumarin metabolism (to melilotic acid)	
PWY-6792	scopoletin biosynthesis	
PWY-7186	superpathway of scopolin and esculin biosynthesis	post-harvest physiological deterioration hydroxycoumarin and hydrocycoumarin glucoside biosynthesis	PPD hydroxycoumarin and hydrocycoumarin glucoside biosynthesis
PWY-5176	coumarin biosynthesis (via 2-coumarate)	
PWY-5365	linear furanocoumarin biosynthesis	
PWY-7055	daphnetin modification	
PWY-7058	esculetin modification	
PWY-7398	coumarins biosynthesis (engineered)	
PWY-4922	6-methoxymellein biosynthesis	
PWY-5349	esculetin biosynthesis	
PWY-6982	umbelliferone biosynthesis	
PWY-6029	2,3-<i>trans</i>-flavanols biosynthesis	flavan-3-ols biosynthesis
PWY-6232	chrysoeriol biosynthesis	3'-O-Methylluteolin biosynthesis	5,7,4'-trihydroxy-3'-methoxyflavone biosynthesis
PWY-6325	echinatin biosynthesis	
PWY-6515	phloridzin biosynthesis	
PWY-6787	flavonoid biosynthesis (in equisetum)	
PWY-7397	naringenin biosynthesis (engineered)	
PWY1F-FLAVSYN	flavonoid biosynthesis	flavonoid biosynthesis
PWY-5286	anthocyanidin sophoroside metabolism	
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)	<i>Arabidopsis</i> anthocyanin A11 biosynthesis
